unit,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
NR,TOTAL,T,ES13	561042 	568196 	577267 	584657 	588512 	590867 	592383 	590036 	587682 	585359 	582504 	581490 
NR,TOTAL,T,ES21	2127689 	2142602 	2159415 	2174077 	2179521 	2183136 	2184696 	2177006 	2167166 	2165100 	2164066 	2167323 
NR,TOTAL,T,ES22	592137 	602835 	616710 	627286 	633023 	637100 	640014 	638948 	636450 	636402 	637486 	640353 
NR,TOTAL,T,ES23	302703 	308117 	316197 	319788 	319934 	320858 	320951 	318647 	315223 	313569 	312810 	312624 
NR,TOTAL,T,ES24	1273563 	1294243 	1325426 	1342788 	1344181 	1344385 	1343807 	1338316 	1331301 	1326403 	1318571 	1316072 
NR,TOTAL,T,ES30	5953546 	6075013 	6226185 	6327559 	6373546 	6394252 	6425522 	6414620 	6378297 	6385298 	6424275 	6476838 
NR,TOTAL,T,ES41	2494698 	2514206 	2541720 	2549172 	2547401 	2545301 	2537685 	2518560 	2495689 	2478079 	2454454 	2435951 
NR,TOTAL,T,ES42	1917445 	1971208 	2031840 	2066428 	2084468 	2099064 	2105935 	2094406 	2075197 	2062767 	2048900 	2040977 
NR,TOTAL,T,ES43	1074937 	1081872 	1089655 	1094693 	1099610 	1102299 	1104336 	1100970 	1096421 	1091623 	1084969 	1077525 
NR,TOTAL,T,ES51	7010859 	7151682 	7311146 	7427092 	7463488 	7493263 	7514991 	7480921 	7416237 	7396991 	7408290 	7441284 
NR,TOTAL,T,ES52	4681033 	4801628 	4928095 	4981284 	4989631 	4999192 	5009650 	4987011 	4956427 	4939674 	4932347 	4935182 
NR,TOTAL,T,ES53	970294 	1005181 	1042857 	1070167 	1083679 	1091664 	1100715 	1110112 	1115841 	1124972 	1135527 	1150962 
NR,TOTAL,T,ES61	7865788 	7986600 	8118570 	8212968 	8276008 	8332080 	8377810 	8393175 	8388875 	8399618 	8403774 	8408976 
NR,TOTAL,T,ES62	1351106 	1385717 	1419563 	1441787 	1453543 	1459075 	1461925 	1461983 	1461803 	1463773 	1466474 	1472991 
NR,TOTAL,T,ES63	72807 	74161 	75250 	76927 	79294 	81621 	83845 	84539 	84674 	84692 	84652 	85034 
NR,TOTAL,T,ES64	67111 	68967 	71244 	73365 	76049 	78866 	81792 	83620 	83870 	84570 	84764 	84946 
NR,TOTAL,T,ES70	1899618 	1946077 	1991954 	2025490 	2045163 	2064871 	2085938 	2105234 	2114845 	2126144 	2135209 	2154978 
NR,TOTAL,T,FI19	1334293 	1338973 	1344565 	1349600 	1355168 	1360041 	1365259 	1370384 	1374403 	1377281 	1379116 	1380593 
NR,TOTAL,T,FI1B	1452083 	1467453 	1483719 	1501511 	1517542 	1532309 	1549058 	1566835 	1585473 	1603388 	1620261 	1638293 
NR,TOTAL,T,FI1C	1143740 	1146472 	1149025 	1152267 	1154648 	1157595 	1159823 	1161486 	1161882 	1161706 	1160491 	1159174 
NR,TOTAL,T,FI1D	1298698 	1297134 	1296022 	1295480 	1296335 	1297324 	1298773 	1299468 	1300846 	1300462 	1298457 	1296023 
NR,TOTAL,T,FI20	26766 	26923 	27153 	27456 	27734 	28007 	28354 	28501 	28666 	28916 	28983 	29214 
NR,TOTAL,T,FR10	11532398 	11598866 	11659260 	11728240 	11786234 	11852851 	11898502 	11959807 	12027565 	12082144 p	12138930 p	12193865 p
NR,TOTAL,T,FR21	1338850 	1339487 	1338004 	1337953 	1335923 	1336053 	1339270 	1339008 	1339299 	1338255 p	1336535 p	1334453 p
NR,TOTAL,T,FR22	1894355 	1900354 	1906601 	1911157 	1914844 	1918155 	1922342 	1927142 	1930095 	1932090 p	1933719 p	1934171 p
NR,TOTAL,T,FR23	1811055 	1816716 	1825667 	1832942 	1836954 	1839393 	1845547 	1849652 	1856267 	1859647 p	1862637 p	1865332 p
NR,TOTAL,T,FR24	2519567 	2526919 	2531588 	2538590 	2548065 	2556835 	2563586 	2570548 	2577435 	2578592 p	2580581 p	2582302 p
NR,TOTAL,T,FR25	1456793 	1461429 	1467425 	1470880 	1473494 	1475684 	1477209 	1478712 	1479378 	1479484 p	1478803 p	1477290 p
NR,TOTAL,T,FR26	1628837 	1633891 	1638588 	1642440 	1642115 	1642734 	1641130 	1642687 	1642551 	1641205 p	1639637 p	1637366 p
NR,TOTAL,T,FR30	4018644 	4021676 	4024490 	4033197 	4038157 	4042015 	4050756 	4060741 	4076061 	4077886 p	4083273 p	4087132 p
