unit;hazard;wst_oper;waste;geo\time;2016;2014;2012;2010;2008;2006;2004
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;ES;852;802;1042;1601;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;EU28;1706 s;1667;1666;1675;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;FI;1687;2354;5855;5426;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;FR;2510 p;2429;2319;2453;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;HR;416;372;233;94;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;HU;770;656;467;471;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;IE;261;272;180;283;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;IS;724;697 b;1072;1004;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;IT;1771;1635;1660;1564;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;LT;561;399;334;343;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;LU;6760;6641;8835;11978;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;LV;672;540;397;149;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;ME;13;16;: ;: ;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;MK;: ;0;33;161;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;MT;618;1193;280;288;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;NL;3745;3514;3574;3489;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;NO;897;868;858;515;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;PL;1981;2424;2126;2020;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;PT;407;526;437;456;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;RO;359;329;383;363;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;RS;192;180;110;78;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;SE;1660;1565;1968;1684;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;SI;1403;1367;1441;1206;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;SK;584;536;490;660;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;TR;418;298;4090;118;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;UK;1586;1490;1436;1489;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;AL;: ;92;: ;: ;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;AT;3299;3456;3172;1791;3863;3613;4453
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;BE;2952;2947;2869;2213;1620;2194;: c
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;BG;850;493;245;260;360;261;275
