phenomenon,unit,geo_nuts,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
RCV_E,THS_T,CY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,CY00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,CZ,,,607.22,494.95,369.95,367.47,388.68,390.62,379.75,402.89,399.2,398,,
RCV_E,THS_T,EE,214,46,0,0,1,1,2,1,0,0.16,0.21,0.24,0.47,0.13
RCV_E,THS_T,EE00,214,46,0,0,1,1,2,1,0,0.16,0.21,0.24,0.47,0.13
RCV_E,THS_T,ES,,,,,,2169.5,,,,,,,,
RCV_E,THS_T,FR,,,11798.2,13782.11,,12999.1,,12372.3,,12954.8,,11739.3,,10229.7
RCV_E,THS_T,FR10,,,3398.2,3874,,3867.3,,3572.8,,4074.3,,3716.4,,3537.5
RCV_E,THS_T,FR21,,,183.7,249.63,,258.5,,263.1,,156.9,,166.8,,160
RCV_E,THS_T,FR22,,,173.5,160.83,,162.8,,167.4,,75.9,,7.8,,9.3
RCV_E,THS_T,FR23,,,458.3,590.27,,596.3,,604.5,,542,,448.8,,351
RCV_E,THS_T,FR24,,,372.1,579.81,,544,,515.8,,528.1,,546.6,,298.1
RCV_E,THS_T,FR25,,,155.7,112.07,,92,,94.4,,113.1,,115,,117.6
RCV_E,THS_T,FR26,,,158.5,185,,189,,163,,181.1,,135,,150.4
RCV_E,THS_T,FR30,,,790.2,906.23,,754.1,,600.5,,729.9,,716,,355.4
RCV_E,THS_T,FR41,,,331.5,321.05,,326.1,,330.5,,329.3,,262.4,,155.9
RCV_E,THS_T,FR42,,,478.2,590.46,,601.3,,601.2,,590.7,,718.2,,676.2
RCV_E,THS_T,FR43,,,264.2,308.77,,306.8,,262.8,,264.3,,258,,190.7
RCV_E,THS_T,FR51,,,520.1,604.55,,589.1,,587,,550.6,,475.9,,429.2
RCV_E,THS_T,FR52,,,595.5,655.47,,669.1,,598.9,,691.2,,683.8,,673.6
RCV_E,THS_T,FR53,,,126.4,132.46,,135.3,,135.5,,146.9,,143.9,,134.8
RCV_E,THS_T,FR61,,,472.5,557.26,,560.4,,504.8,,611.4,,583.1,,526.1
RCV_E,THS_T,FR62,,,369.1,468.06,,457.3,,412.1,,400.3,,378,,242.6
RCV_E,THS_T,FR63,,,140.4,187.76,,187.4,,187.5,,204.3,,198.4,,187.5
RCV_E,THS_T,FR71,,,1074.8,1430.69,,1330.4,,1408.6,,1483,,1202,,1086.8
RCV_E,THS_T,FR72,,,37.2,58.68,,69.9,,55.5,,59.2,,58.2,,54.8
RCV_E,THS_T,FR81,,,501.2,509.52,,475.1,,475.6,,372.2,,184.6,,168
RCV_E,THS_T,FR82,,,1103.2,1186.62,,705.1,,705.8,,733,,740.4,,724.2
RCV_E,THS_T,FR83,,,4,0,,0,,0,,0,,0,,0
RCV_E,THS_T,FR91,,,0,9.2,,9.8,,8.9,,8.3,,,,
RCV_E,THS_T,FR92,,,88.5,103.72,,112,,116.1,,108.8,,,,
RCV_E,THS_T,FR93,,,0,0,,0,,0,,0,,,,
RCV_E,THS_T,FR94,,,1.2,0,,0,,0,,0,,,,
RCV_E,THS_T,HR,,,,,,5,,1,,,,,,
RCV_E,THS_T,HR03,0,0,0,,,,,,,,,,,
RCV_E,THS_T,HR04,0.7547,1.572,0.0007,,,,,,,,,,,
RCV_E,THS_T,HU,335.88,364.05,408.1,406.43,406.25,393.36,,,,0,0,0,0,0
RCV_E,THS_T,HU10,335.88,364.05,408.1,406.43,406.25,393.17,,,,,,,,
RCV_E,THS_T,HU21,0,0,0,0,0,0.11,,,,,,,,
RCV_E,THS_T,HU22,0,0,0,0,0,0.08,,,,,,,,
RCV_E,THS_T,HU23,0,0,0,0,0,0,,,,,,,,
