phenomenon,unit,waste,geo_nuts,2016,2014,2012,2010,2008,2006,2004
RCV_R,T,TOTAL,MK,,159,67533,330588,,,
RCV_R,T,TOTAL,MT,281209,518629,117817,119485,,,
RCV_R,T,TOTAL,NL,63770231,59257658,59880430,57964213,,,
RCV_R,T,TOTAL,NO,4693196,4460808,4303440,2516879,,,
RCV_R,T,TOTAL,PL,75229503,92126196,80940971,76839519,,,
RCV_R,T,TOTAL,PT,4203815,5468794,4598295,4819912,,,
RCV_R,T,TOTAL,RO,7070091,6554814,7677626,7359461,,,
RCV_R,T,TOTAL,RS,1353801,1285494,793258,565311,,,
RCV_R,T,TOTAL,SE,16471650,15179093,18732360,15794637,,,
RCV_R,T,TOTAL,SI,2897570,2817796,2965100,2470137,,,
RCV_R,T,TOTAL,SK,3172657,2901858,2650771,3559221,,,
RCV_R,T,TOTAL,TR,33166436,23013898,307466791,8615182,,,
RCV_R,T,TOTAL,UK,104002725,96270453,91469595,93458966,,,
RCV_R_B,T,TOTAL,AL,,265439,,,,,
RCV_R_B,T,TOTAL,AT,28824304,29538788,26741675,14981602,32149552,29878589,36390005
RCV_R_B,T,TOTAL,BE,33449897,33037345,31870399,24106924,17345118,23140966,
RCV_R_B,T,TOTAL,BG,6058119,3560458,1788520,1922353,2700060,1987322,2122183
RCV_R_B,T,TOTAL,CY,750066,593704,388821,1380904,744953,182019,299637
RCV_R_B,T,TOTAL,CZ,17995558,15337371,13556985,13219721,13441911,11353808,15735403
RCV_R_B,T,TOTAL,DE,265646945,252158489,244276134,241563259,255336958,251113111,213717282
RCV_R_B,T,TOTAL,DK,9791108,10347151,7705564,7778942,10282534,10787222,8761855
RCV_R_B,T,TOTAL,EE,6506160,6613238,12098781,5955650,5455924,6207711,3603991
RCV_R_B,T,TOTAL,EL,,7609093,8368133,11722265,5250963,10527323,3393770
RCV_R_B,T,TOTAL,ES,45622060,50319456,56939199,80288909,70354532,42288921,30916058
RCV_R_B,T,TOTAL,FI,9271982,12854027,31700341,31998572,22855427,18590369,17276282
RCV_R_B,T,TOTAL,FR,199331336,192494192,191314823,200677448,194549002,175796985,174161057
RCV_R_B,T,TOTAL,HR,1886083,1643786,1036374,403242,383835,657751,422167
RCV_R_B,T,TOTAL,HU,8068726,6973886,5072018,5125324,5440040,3216895,2212102
RCV_R_B,T,TOTAL,IE,6654811,4999172,2811788,3356440,10415485,15462353,11617843
RCV_R_B,T,TOTAL,IS,790720,601134,346824,321016,441730,,82700
RCV_R_B,T,TOTAL,IT,107487175,99714421,98968790,93036713,87826097,75632616,57167374
RCV_R_B,T,TOTAL,LT,1807574,1284692,1065147,1062396,1361310,1211591,1030870
