wst_oper,unit,geo\time,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
DSP_I,THS_T,SK01,0,0,0.05,0.05,0.03,0.02,0.08,128.43,124.52,0.03,0.03,0.02,: ,: 
DSP_I,THS_T,SK02,0,0.01,0,0,0.02,0,0,0,0.03,0.27,0.42,0.77,: ,: 
DSP_I,THS_T,SK03,0,0,0,0,0,0,0,0,0,0.31,0.28,0.25,: ,: 
DSP_I,THS_T,SK04,0,3.83,3.9,12.3,2.58,0.04,64.24,61.32,56.19,67.37,66.28,64.12,: ,: 
DSP_I,THS_T,TR,: ,: ,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,TR10,: ,: ,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,TR21,: ,: ,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,TR22,: ,: ,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,TR31,: ,: ,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,TR32,: ,: ,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,TR33,: ,: ,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,TR41,: ,: ,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,TR42,: ,: ,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,TR51,: ,: ,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,TR52,: ,: ,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,TR61,: ,: ,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,TR62,: ,: ,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,TR63,: ,: ,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,TR71,: ,: ,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,TR72,: ,: ,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,TR81,: ,: ,0,0,0,0,0,0,0,0,0,0,0,0
